Date,AS51 Index
6/09/2017,589370048
7/09/2017,613854464
8/09/2017,480905984
11/09/2017,451485216
12/09/2017,556611968
13/09/2017,510908640
14/09/2017,479232480
15/09/2017,772648320
18/09/2017,454107008
19/09/2017,552900928
20/09/2017,515902976
21/09/2017,670152192
22/09/2017,440686240
25/09/2017,401344416
26/09/2017,513287552
27/09/2017,532693696
28/09/2017,548263488
29/09/2017,594321344
2/10/2017,352062080
3/10/2017,487113792
4/10/2017,518994784
5/10/2017,475640288
6/10/2017,455850016
9/10/2017,433020960
10/10/2017,453775456
11/10/2017,528909920
12/10/2017,469181504
13/10/2017,438596736
16/10/2017,463515008
17/10/2017,494543488
18/10/2017,544972992
19/10/2017,635701568
20/10/2017,486911104
23/10/2017,428251872
24/10/2017,502234496
25/10/2017,562697408
26/10/2017,546433024
27/10/2017,623191360
30/10/2017,484177632
31/10/2017,536955520
1/11/2017,608297856
2/11/2017,520994592
3/11/2017,468619392
6/11/2017,453014368
7/11/2017,461198432
8/11/2017,494155808
9/11/2017,584186240
10/11/2017,444623552
13/11/2017,419288800
14/11/2017,610725568
15/11/2017,627916096
16/11/2017,596442880
17/11/2017,446196896
20/11/2017,443479232
21/11/2017,491331648
22/11/2017,581633792
23/11/2017,476093504
24/11/2017,435926688
27/11/2017,435677280
28/11/2017,766014912
29/11/2017,547176000
30/11/2017,868506880
1/12/2017,410735040
4/12/2017,515622016
5/12/2017,599255680
6/12/2017,619178880
7/12/2017,539565056
8/12/2017,473594752
11/12/2017,466338112
12/12/2017,559584128
13/12/2017,696799424
14/12/2017,666541760
15/12/2017,956569472
18/12/2017,579343808
19/12/2017,601372288
20/12/2017,559058496
21/12/2017,830669184
22/12/2017,506894496
27/12/2017,255548384
28/12/2017,269773152
29/12/2017,322429408
2/01/2018,248986048
3/01/2018,350992352
4/01/2018,412188384
5/01/2018,388940480
8/01/2018,346287520
9/01/2018,510214080
10/01/2018,519687424
11/01/2018,472408064
12/01/2018,470368768
15/01/2018,433662848
16/01/2018,461233536
17/01/2018,513856448
18/01/2018,518830880
19/01/2018,527237600
22/01/2018,445978048
23/01/2018,486242336
24/01/2018,512701056
25/01/2018,512800608
29/01/2018,487898528
30/01/2018,497270144
31/01/2018,678597376
1/02/2018,643727872
2/02/2018,511454208
5/02/2018,608891072
6/02/2018,933655680
7/02/2018,793769856
8/02/2018,571603648
9/02/2018,651042112
12/02/2018,575452736
13/02/2018,623472000
14/02/2018,557524096
15/02/2018,647640000
16/02/2018,583920128
19/02/2018,555942464
20/02/2018,599008576
21/02/2018,592545664
22/02/2018,728829760
23/02/2018,721721408
26/02/2018,622310976
27/02/2018,718441664
28/02/2018,804996096
1/03/2018,594720512
2/03/2018,571267520
5/03/2018,514737056
6/03/2018,622326272
7/03/2018,559244544
8/03/2018,569961920
9/03/2018,535440800
12/03/2018,488250944
13/03/2018,525091264
14/03/2018,548157504
15/03/2018,723969600
16/03/2018,1048162240
19/03/2018,445668960
20/03/2018,523172256
21/03/2018,557819072
22/03/2018,607138176
23/03/2018,608963008
26/03/2018,534661152
